mean radius,mean texture
17.91,21.02
14.34,13.47
20.16,19.66
11.08,14.71
12.22,20.04
11.27,12.96
18.08,21.84
20.31,27.06
13.44,21.58
11.75,20.18
8.734,16.84
15.5,21.08
20.73,31.12
19.45,19.33
13.5,12.71
15.28,22.41
15.1,22.02
13.59,21.84
9.876,19.4
11.43,17.31
16.84,19.46
12.89,13.12
16.25,19.51
19.53,32.47
11.84,18.7
16.35,23.29
11.57,19.04
9.787,19.94
11.87,21.54
12.3,15.9
11.69,24.44
11.63,29.29
14.29,16.82
15.78,22.91
20.18,23.97
11.7,19.11
12.96,18.29
12.62,17.15
10.8,9.71
22.27,19.67
14.45,20.22
12.42,15.04
10.96,17.62
14.54,27.54
13.74,17.91
13.81,23.75
11.32,27.08
9.423,27.88
11.74,14.69
9.676,13.14
15.61,19.38
9.738,11.97
13.9,19.24
17.01,20.26
11.64,18.33
13.24,20.13
13.69,16.07
11.42,20.38
9.731,15.34
11.81,17.39
20.92,25.09
17.14,16.4
12.05,14.63
11.67,20.02
17.2,24.52
13.28,13.72
19.59,25.0
25.73,17.46
12.76,13.37
20.47,20.67
20.09,23.86
13.7,17.64
13.11,15.56
21.75,20.99
11.71,15.45
14.4,26.99
16.3,15.7
20.2,26.83
19.44,18.82
12.78,16.49
14.86,16.94
15.22,30.62
17.57,15.05
16.03,15.51
9.667,18.49
18.61,20.25
27.42,26.27
11.6,18.36
21.1,20.52
11.52,14.93
10.97,17.2
12.25,22.44
13.56,13.9
20.34,21.51
11.47,16.03
14.87,16.67
15.08,25.74
11.26,19.83
19.21,18.57
15.12,16.68
